id;name;model;power;info
1;trepan heel;beast amid starve;awake instead fatally;onto
2;dancing bankbook;peaceful until;snake idle;messy once oeuvre
3;hutch;pish including;card merrily;disrupt whoever
4;wound before gee;moor weather;than anorak;gorgeous liquid
5;animated;concerning unto;but;idolize
6;wick sugary;likewise;besides knotty midst;inasmuch outstanding
7;burn;silently;swan bravely;muck energetically
8;supper;before tut yahoo;muted;amongst
9;longingly um;an under;aside;sensor flickering because
10;serialize engulf disincentivise;without charm qua;debar unlined given;helplessly
