id;name;model;jhi_group;info
1;unlucky resolution;ew crush slim;of;keeper when ha
2;impartial down for;er;haunting;covariate unexpectedly threat
3;whose;confer sans yesterday;waterfront smooth ugh;considering
4;after;art pitiful;repudiate rally;electronics seafood
5;badly unbearably;ash flustered;out;toward promptly sweetly
6;nervously;realize duh;till;ferociously
7;extinguish;obediently submissive;adjourn loudly;snap and
8;box;phooey;whoa bestow;unimpressively unlike utter
9;ditch lest though;treasure ah;meh curiously;outside lest
10;pfft carefully impolite;commonly feminize rubbish;woot huzzah;keep by
