id;name;model;serial_number;ip;status;info
1;elegantly;out scorn opposite;determined whirlwind yippee;rotating usually;OFFLINE;yearningly ha
2;ambulance chivalry lightly;mesmerize up since;pace;knotty notwithstanding;ONLINE;buoyant devoted
3;in how gee;networking disinvest well;dressing;merry supersized finally;ONLINE;definite supposing since
4;reasonable;happening quaint;mimosa anti duh;unless civilise;OFFLINE;klutzy woot midst
5;um up charter;provided prime;fatal wampum scaffold;wherever;ONLINE;ha patiently
6;fooey times;patroller add;oh piercing;jaggedly provided;OFFLINE;yuck
7;why cruelly;likewise wherever;powerfully wavy;regulator;ONLINE;aw duh fortunately
8;boo knowledgeably obediently;throughout;waltz upshift asymmetry;bleakly witty brr;OFFLINE;spry
9;evenly commonly roughly;edit oppress;keenly why hence;seal;ONLINE;incidentally
10;brightly ladle;diligent;sentence;pantology;ONLINE;nor huzzah amass
