id;name;home;street;latitude;longitude;info
1;except;gram stonewall faithful;Харьковская аллея;commit brain;gah fruitful seashore;hence diner
2;because unaccountably among;truly veranda bespeak;Каштановая улица;clearly until;whoa;whenever delightfully
3;finally if since;shallow hare;Учительская ул.;heel;harmless;psst horse for
4;for ugh ogle;oof gee;наб. Широкая;graceful gadzooks similarity;sparerib certainly the;slough vapid
5;shrill into;perfect twin aha;Пушкинская ал.;farming vastly;whenever consequently art;abaft
6;er;circumstance bottom;Путевая ул.;liberalise whoever ha;until defiantly;negative
7;why tam-o'-shanter;drat;площадь Ключевая;save whereas;indeed;heavily
8;dry wavy condescend;midst configuration;набережная Краснознаменная;dreamily qua;pug;wherever twitch for
9;once;welcome where blindly;ал. Хвойная;knowingly pish pish;scary;blah from
10;suppression;softly;Коллективная аллея;beyond minus jaggedly;huzzah;reduce helpfully
