id;name;model;info
1;rightfully concrete practise;joke;hard-to-find inasmuch
2;mechanically pouch;gnash inside;ephemera nightlight
3;indolent despite;deposition seep;till
4;disguised facelift eventually;athwart likewise mmm;speed strawman
5;collapse;declassify;clothes intelligent until
6;where gee;off considering;yowza
7;unto blah;drat gadzooks against;collaborate ugh
8;astride;kiddingly on cringe;creepy burble failing
9;incline a;maize miserly coaxingly;an up
10;underneath quizzically;sometimes;agreeable
