id;name;model;power;info
1;hmph pish;as above;cleverly fat;kookily after following
2;unless complex anenst;though;greatly while worst;boastfully sweetly
3;dolman pilfer;bully;as modulo;finally chestnut sore
4;beautifully now symmetry;endear;astride;terrible direct
5;wiretap whether cameo;drivel among;if eulogise;shallows furiously yahoo
6;indeed shampoo swank;ew avow bah;systematise;what ick knowledgeably
7;naive regarding;onto rabbit;tracksuit if clearly;ajar incidentally
8;euphoric finalise oh;escalate vegetate usually;vengeful bravely;second double
9;sabotage;er silent biodegradable;immediately humble;uh-huh psst
10;leverage;sour since keenly;reap colorless among;leg administer sleek
