id;name;model;port_number;info
1;loosely cable;atop wherever which;ah;fax mama
2;what;how;opera;pale
3;underneath;gullible;daikon genuine while;aha
4;meter failing shrill;solidly readies above;bongo convection;ugh eek
5;racer;collectivise;brr finally enthusiastically;unnecessarily sombrero
6;madly;provided taxpayer aside;despite;message twin
7;drat silica;quality supposing;until;flood yuck
8;useless onto dispose;maiden;finally timely craftsman;what
9;voluminous which boiling;embroider;yahoo documentary;fuzzy ha before
10;worth blah;grok hoodwink;giant disadvantage;of so
