id;name;model;port_number;info
1;brew as;fritter tweezers;amongst yowza;discount lest whoever
2;a;mmm;venerated;amidst executive
3;fresh;amidst;sound extremely before;whether
4;around who mysteriously;acidly tug extemporise;or blah;ultimately until sailor
5;goggles;walk appropriation gah;county anti until;given
6;sample mostly;defoliate fooey oasis;mysteriously pish prince;truthfully
7;warmly;afore;lest pfft;duh swiftly open
8;depersonalize than;among as nippy;nor worm;jewel whose interestingly
9;toward unlike yet;boo;rust;till
10;glory overexpose separately;recruit now;lest;since
