id;name;model;ip;info
1;plastic droopy cabin;dress gleefully versus;canter straddle yuck;proper pfft triumphantly
2;stained;imitation;well-being infinite;whoever
3;electric;instead valiantly uh-huh;as;across
4;ack fancy what;inexperienced vignette fudge;stormy pro;concerning quarrelsomely um
5;yesterday down;odd;hmph fixed sentimental;fruitful whether
6;laborer next breakdown;whoa whether;under frilly;caterwaul slowly
7;humiliating bury;infatuated who intensely;including vacantly panic;whenever judgementally
8;miserably inasmuch ick;concerning nerve healthily;lip a tightly;queasily quicker now
9;hmph though;lest revalue reinvigorate;besides even;or crowded
10;whoever across wing;pace ah ah;vice violent never;gadzooks release times
