id;name;model;power;info
1;cylinder fiercely useless;while healthily;that pass;harbor defiantly although
2;poker store;until beneath famous;hefty;fairly boohoo
3;although yearningly euphoric;knowledgeably;than whether loincloth;abnormally
4;under;till er;charbroil;silently rapid since
5;woefully;ack hunch suddenly;whose blah personal;mama rarely
6;heavenly;um;through;lightly placode subedit
7;meh homeschool;amongst;atop ew round;stick gate recklessly
8;reignite mockingly phew;what;brother till meanwhile;and yawningly
9;unruly whoever boohoo;appear pro provided;as woot;pfft
10;minty trusty;amid equally whoever;doorstep;pfft
